CPUNano,CPU,AvgCPU,MemPerc
100182000,245.17511107730576,245.17511107730576,0.00%
2688438000,258.5605810927127,258.03562064975057,0.01%
5267488000,257.6586409787214,257.85090738246964,0.02%
7870777000,259.9308359394331,258.5351576879688,0.03%
10464777000,259.01837165586363,258.6547682120551,0.04%
13045203000,257.6509748982213,258.455591294099,0.05%
15634977000,258.6013081009882,258.47971644379936,0.06%
18226889000,258.8106440525532,258.52672360380126,0.07%
20818197000,258.7380573629199,258.55301018375377,0.08%
23410000000,258.9117882804337,258.59268280568585,0.09%
26002627000,258.90431299925234,258.62372064016876,0.10%
28590085000,258.3501009097927,258.5989336743838,0.11%
31188287000,259.44602175849946,258.66929075649404,0.12%
33780605000,258.79095891795777,258.6786234980398,0.13%
36373372000,258.95672840516147,258.6984276006374,0.14%
38961774000,258.6572222597723,258.69568974150974,0.15%
41545263000,258.0263033882677,258.65396274608054,0.16%
44128525000,257.92334668765176,258.6110788012921,0.17%
46706084000,257.4027460065065,258.54409910469474,0.18%
49269281000,256.1365439292594,258.4177323662464,0.19%
51849887000,257.6953318134836,258.38168221192507,0.20%
54437734000,258.39862016165097,258.3824873535523,0.21%
57023377000,258.2120553768407,258.37475449134126,0.22%
